hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
349,218,817,49,0.2248,4,0.0183,38,0.1743,22,0.1009,6,0.0275,26,0.1193,0,0,0,0,4,0.0183,12,0.055,212,733,580,43,0.2028,0,0,35,0.1651,27,0.1274,19,0.0896,31,0.1462,0,0,0,0,0,0,3,0.0142,232,800,658,45,0.194,1,0.0043,55,0.2371,24,0.1034,18,0.0776,23,0.0991,0,0,3,0.0129,0,0,13,0.056
350,1135,3555,156,0.1374,30,0.0264,200,0.1762,73,0.0643,53,0.0467,77,0.0678,12,0.0106,9,0.0079,12,0.0106,59,0.052,1112,3566,2000,126,0.1133,39,0.0351,213,0.1915,81,0.0728,50,0.045,54,0.0486,19,0.0171,2,0.0018,9,0.0081,41,0.0369,1181,3920,2230,156,0.1321,35,0.0296,240,0.2032,112,0.0948,63,0.0533,68,0.0576,8,0.0068,14,0.0119,10,0.0085,57,0.0483
351,660,1895,88,0.1333,4,0.0061,91,0.1379,46,0.0697,31,0.047,45,0.0682,2,0.003,5,0.0076,3,0.0045,19,0.0288,631,1697,1515,82,0.13,9,0.0143,114,0.1807,36,0.0571,32,0.0507,58,0.0919,5,0.0079,0,0,6,0.0095,25,0.0396,636,1627,1531,89,0.1399,5,0.0079,110,0.173,49,0.077,37,0.0582,53,0.0833,5,0.0079,0,0,0,0,24,0.0377
352,1267,3835,164,0.1294,21,0.0166,181,0.1429,50,0.0395,55,0.0434,80,0.0631,8,0.0063,10,0.0079,5,0.0039,47,0.0371,1226,3849,1474,165,0.1346,15,0.0122,167,0.1362,46,0.0375,46,0.0375,76,0.062,7,0.0057,8,0.0065,8,0.0065,53,0.0432,1301,4082,1701,176,0.1353,24,0.0184,211,0.1622,70,0.0538,70,0.0538,76,0.0584,10,0.0077,11,0.0085,11,0.0085,59,0.0453
353,155,253,13,0.0839,1,0.0065,27,0.1742,8,0.0516,8,0.0516,4,0.0258,1,0.0065,1,0.0065,2,0.0129,10,0.0645,167,296,326,10,0.0599,1,0.006,22,0.1317,9,0.0539,9,0.0539,5,0.0299,1,0.006,0,0,0,0,5,0.0299,148,301,343,11,0.0743,1,0.0068,23,0.1554,11,0.0743,14,0.0946,7,0.0473,0,0,3,0.0203,0,0,13,0.0878
354,298,610,67,0.2248,0,0,28,0.094,13,0.0436,47,0.1577,62,0.2081,0,0,12,0.0403,1,0.0034,9,0.0302,324,722,577,76,0.2346,3,0.0093,40,0.1235,17,0.0525,59,0.1821,67,0.2068,2,0.0062,15,0.0463,3,0.0093,22,0.0679,336,755,702,72,0.2143,2,0.006,53,0.1577,23,0.0685,73,0.2173,67,0.1994,2,0.006,16,0.0476,3,0.0089,21,0.0625
355,427,1051,61,0.1429,13,0.0304,39,0.0913,19,0.0445,29,0.0679,39,0.0913,4,0.0094,6,0.0141,4,0.0094,18,0.0422,410,1015,720,57,0.139,8,0.0195,61,0.1488,31,0.0756,21,0.0512,31,0.0756,2,0.0049,3,0.0073,7,0.0171,20,0.0488,411,925,689,46,0.1119,7,0.017,52,0.1265,27,0.0657,29,0.0706,22,0.0535,4,0.0097,4,0.0097,7,0.017,19,0.0462
356,254,525,23,0.0906,5,0.0197,47,0.185,12,0.0472,9,0.0354,12,0.0472,2,0.0079,2,0.0079,2,0.0079,19,0.0748,237,560,447,24,0.1013,4,0.0169,54,0.2278,7,0.0295,10,0.0422,14,0.0591,0,0,0,0,0,0,16,0.0675,294,758,623,33,0.1122,1,0.0034,68,0.2313,30,0.102,16,0.0544,25,0.085,1,0.0034,0,0,4,0.0136,21,0.0714
357,10,16,2,0.2,0,0,3,0.3,1,0.1,1,0.1,1,0.1,0,0,0,0,0,0,3,0.3,12,21,25,1,0.0833,0,0,1,0.0833,0,0,2,0.1667,0,0,0,0,0,0,0,0,1,0.0833,19,23,21,3,0.1579,1,0.0526,3,0.1579,2,0.1053,3,0.1579,0,0,1,0.0526,0,0,0,0,1,0.0526
358,643,1522,55,0.0855,12,0.0187,79,0.1229,24,0.0373,18,0.028,35,0.0544,3,0.0047,1,0.0016,3,0.0047,9,0.014,531,1148,1183,50,0.0942,18,0.0339,72,0.1356,12,0.0226,9,0.0169,28,0.0527,5,0.0094,1,0.0019,1,0.0019,11,0.0207,654,1450,1345,69,0.1055,21,0.0321,74,0.1131,27,0.0413,19,0.0291,35,0.0535,9,0.0138,2,0.0031,3,0.0046,9,0.0138
359,704,1902,107,0.152,11,0.0156,73,0.1037,41,0.0582,34,0.0483,36,0.0511,6,0.0085,0,0,0,0,0,0,717,1936,2195,119,0.166,12,0.0167,73,0.1018,39,0.0544,24,0.0335,41,0.0572,6,0.0084,0,0,0,0,0,0,771,2172,2306,122,0.1582,8,0.0104,80,0.1038,51,0.0661,39,0.0506,41,0.0532,4,0.0052,0,0,0,0,0,0
360,380,1080,41,0.1079,5,0.0132,85,0.2237,21,0.0553,22,0.0579,21,0.0553,2,0.0053,1,0.0026,0,0,16,0.0421,340,955,376,31,0.0912,7,0.0206,68,0.2,22,0.0647,13,0.0382,17,0.05,1,0.0029,2,0.0059,1,0.0029,16,0.0471,331,912,340,31,0.0937,1,0.003,40,0.1208,22,0.0665,22,0.0665,18,0.0544,0,0,1,0.003,1,0.003,11,0.0332
361,61,86,6,0.0984,0,0,6,0.0984,5,0.082,2,0.0328,4,0.0656,0,0,0,0,0,0,0,0,33,67,50,8,0.2424,0,0,6,0.1818,1,0.0303,3,0.0909,6,0.1818,0,0,1,0.0303,0,0,6,0.1818,31,52,55,6,0.1935,1,0.0323,10,0.3226,3,0.0968,3,0.0968,3,0.0968,1,0.0323,0,0,0,0,5,0.1613
362,146,313,18,0.1233,2,0.0137,25,0.1712,10,0.0685,10,0.0685,8,0.0548,1,0.0068,0,0,0,0,0,0,151,299,152,24,0.1589,4,0.0265,30,0.1987,5,0.0331,5,0.0331,14,0.0927,2,0.0132,0,0,0,0,0,0,150,276,161,26,0.1733,2,0.0133,20,0.1333,9,0.06,7,0.0467,11,0.0733,1,0.0067,0,0,0,0,0,0
363,183,354,36,0.1967,5,0.0273,31,0.1694,8,0.0437,38,0.2077,27,0.1475,2,0.0109,10,0.0546,0,0,0,0,197,358,407,43,0.2183,6,0.0305,21,0.1066,11,0.0558,35,0.1777,35,0.1777,1,0.0051,6,0.0305,0,0,0,0,217,424,477,32,0.1475,6,0.0276,27,0.1244,12,0.0553,39,0.1797,27,0.1244,2,0.0092,6,0.0276,0,0,0,0
364,547,1369,35,0.064,4,0.0073,75,0.1371,23,0.042,29,0.053,13,0.0238,0,0,3,0.0055,1,0.0018,22,0.0402,547,1447,640,30,0.0548,8,0.0146,73,0.1335,15,0.0274,34,0.0622,12,0.0219,0,0,0,0,2,0.0037,18,0.0329,585,1448,632,40,0.0684,5,0.0085,75,0.1282,22,0.0376,26,0.0444,17,0.0291,0,0,0,0,2,0.0034,13,0.0222
365,838,1864,64,0.0764,3,0.0036,91,0.1086,41,0.0489,25,0.0298,35,0.0418,3,0.0036,2,0.0024,4,0.0048,20,0.0239,852,1946,1090,73,0.0857,3,0.0035,78,0.0915,22,0.0258,19,0.0223,43,0.0505,1,0.0012,2,0.0023,3,0.0035,18,0.0211,848,1971,1098,60,0.0708,2,0.0024,82,0.0967,27,0.0318,26,0.0307,33,0.0389,1,0.0012,5,0.0059,3,0.0035,15,0.0177
366,476,1042,25,0.0525,6,0.0126,43,0.0903,14,0.0294,7,0.0147,10,0.021,5,0.0105,3,0.0063,2,0.0042,14,0.0294,517,1289,957,26,0.0503,2,0.0039,56,0.1083,20,0.0387,26,0.0503,11,0.0213,0,0,2,0.0039,0,0,15,0.029,524,1236,828,23,0.0439,2,0.0038,54,0.1031,20,0.0382,23,0.0439,10,0.0191,0,0,3,0.0057,1,0.0019,22,0.042
367,146,274,35,0.2397,3,0.0205,33,0.226,14,0.0959,17,0.1164,23,0.1575,0,0,4,0.0274,1,0.0068,14,0.0959,142,238,343,37,0.2606,7,0.0493,12,0.0845,9,0.0634,15,0.1056,23,0.162,1,0.007,4,0.0282,0,0,6,0.0423,157,337,379,33,0.2102,1,0.0064,19,0.121,12,0.0764,8,0.051,19,0.121,0,0,1,0.0064,2,0.0127,10,0.0637
368,303,816,52,0.1716,5,0.0165,51,0.1683,19,0.0627,21,0.0693,19,0.0627,2,0.0066,1,0.0033,0,0,9,0.0297,287,688,629,49,0.1707,5,0.0174,51,0.1777,22,0.0767,18,0.0627,24,0.0836,1,0.0035,3,0.0105,0,0,12,0.0418,307,748,768,49,0.1596,1,0.0033,57,0.1857,30,0.0977,21,0.0684,18,0.0586,0,0,3,0.0098,0,0,16,0.0521
369,128,269,19,0.1484,0,0,19,0.1484,8,0.0625,4,0.0313,18,0.1406,0,0,0,0,1,0.0078,7,0.0547,113,248,103,14,0.1239,0,0,9,0.0796,4,0.0354,7,0.0619,9,0.0796,0,0,2,0.0177,0,0,3,0.0265,106,222,114,15,0.1415,1,0.0094,13,0.1226,4,0.0377,8,0.0755,13,0.1226,1,0.0094,0,0,0,0,4,0.0377
370,203,456,36,0.1773,3,0.0148,36,0.1773,10,0.0493,7,0.0345,12,0.0591,0,0,0,0,0,0,2,0.0099,225,501,494,31,0.1378,1,0.0044,43,0.1911,20,0.0889,7,0.0311,10,0.0444,0,0,0,0,1,0.0044,16,0.0711,216,532,611,38,0.1759,1,0.0046,46,0.213,22,0.1019,10,0.0463,15,0.0694,0,0,0,0,1,0.0046,9,0.0417
371,263,723,22,0.0837,8,0.0304,48,0.1825,29,0.1103,13,0.0494,6,0.0228,5,0.019,1,0.0038,1,0.0038,8,0.0304,266,743,357,14,0.0526,0,0,48,0.1805,26,0.0977,9,0.0338,8,0.0301,0,0,2,0.0075,0,0,7,0.0263,293,763,394,16,0.0546,3,0.0102,41,0.1399,35,0.1195,19,0.0648,9,0.0307,1,0.0034,3,0.0102,0,0,7,0.0239
372,324,730,38,0.1173,8,0.0247,49,0.1512,14,0.0432,13,0.0401,7,0.0216,6,0.0185,0,0,0,0,11,0.034,281,648,477,23,0.0819,8,0.0285,44,0.1566,12,0.0427,8,0.0285,11,0.0391,5,0.0178,4,0.0142,1,0.0036,7,0.0249,296,679,472,20,0.0676,5,0.0169,47,0.1588,17,0.0574,14,0.0473,12,0.0405,3,0.0101,2,0.0068,0,0,8,0.027
373,387,862,47,0.1214,3,0.0078,52,0.1344,17,0.0439,23,0.0594,21,0.0543,0,0,0,0,0,0,0,0,261,533,427,42,0.1609,2,0.0077,37,0.1418,15,0.0575,17,0.0651,23,0.0881,0,0,1,0.0038,4,0.0153,8,0.0307,272,591,475,31,0.114,3,0.011,39,0.1434,10,0.0368,20,0.0735,22,0.0809,2,0.0074,2,0.0074,0,0,12,0.0441
374,63,199,32,0.5079,0,0,4,0.0635,3,0.0476,4,0.0635,7,0.1111,0,0,0,0,0,0,0,0,56,169,208,29,0.5179,0,0,2,0.0357,6,0.1071,4,0.0714,12,0.2143,0,0,0,0,0,0,0,0,50,166,147,19,0.38,1,0.02,2,0.04,7,0.14,3,0.06,9,0.18,0,0,0,0,0,0,0,0
375,178,377,27,0.1517,7,0.0393,31,0.1742,13,0.073,13,0.073,13,0.073,4,0.0225,0,0,0,0,1,0.0056,233,502,457,18,0.0773,14,0.0601,37,0.1588,11,0.0472,11,0.0472,10,0.0429,8,0.0343,1,0.0043,2,0.0086,4,0.0172,217,470,423,24,0.1106,13,0.0599,34,0.1567,4,0.0184,11,0.0507,12,0.0553,6,0.0276,0,0,0,0,4,0.0184
376,322,950,19,0.059,3,0.0093,57,0.177,25,0.0776,22,0.0683,10,0.0311,1,0.0031,2,0.0062,0,0,8,0.0248,346,977,575,32,0.0925,1,0.0029,60,0.1734,34,0.0983,31,0.0896,20,0.0578,0,0,2,0.0058,2,0.0058,13,0.0376,369,1194,713,33,0.0894,0,0,54,0.1463,33,0.0894,30,0.0813,17,0.0461,0,0,3,0.0081,1,0.0027,8,0.0217
377,86,152,17,0.1977,1,0.0116,18,0.2093,5,0.0581,13,0.1512,11,0.1279,0,0,0,0,1,0.0116,10,0.1163,75,133,129,12,0.16,0,0,12,0.16,9,0.12,11,0.1467,5,0.0667,0,0,0,0,0,0,2,0.0267,113,190,188,13,0.115,0,0,28,0.2478,14,0.1239,14,0.1239,4,0.0354,0,0,0,0,2,0.0177,6,0.0531
378,60,107,13,0.2167,1,0.0167,9,0.15,2,0.0333,9,0.15,10,0.1667,1,0.0167,0,0,0,0,2,0.0333,68,110,107,12,0.1765,0,0,25,0.3676,4,0.0588,5,0.0735,11,0.1618,0,0,0,0,0,0,10,0.1471,51,108,122,14,0.2745,0,0,18,0.3529,6,0.1176,8,0.1569,11,0.2157,0,0,0,0,1,0.0196,8,0.1569
379,731,2465,74,0.1012,3,0.0041,96,0.1313,31,0.0424,38,0.052,34,0.0465,2,0.0027,3,0.0041,0,0,7,0.0096,743,2404,2305,86,0.1157,6,0.0081,82,0.1104,33,0.0444,40,0.0538,43,0.0579,3,0.004,2,0.0027,0,0,8,0.0108,694,2505,2598,72,0.1037,6,0.0086,93,0.134,60,0.0865,48,0.0692,40,0.0576,1,0.0014,5,0.0072,1,0.0014,3,0.0043
380,463,1078,86,0.1857,3,0.0065,80,0.1728,25,0.054,32,0.0691,45,0.0972,1,0.0022,5,0.0108,0,0,7,0.0151,403,915,1156,74,0.1836,4,0.0099,75,0.1861,25,0.062,23,0.0571,41,0.1017,0,0,6,0.0149,0,0,12,0.0298,434,1033,1271,76,0.1751,2,0.0046,82,0.1889,31,0.0714,40,0.0922,40,0.0922,0,0,6,0.0138,0,0,14,0.0323
381,432,1229,45,0.1042,1,0.0023,46,0.1065,25,0.0579,20,0.0463,13,0.0301,1,0.0023,1,0.0023,1,0.0023,16,0.037,456,1260,627,34,0.0746,4,0.0088,49,0.1075,33,0.0724,27,0.0592,20,0.0439,2,0.0044,0,0,4,0.0088,15,0.0329,445,1319,791,31,0.0697,0,0,50,0.1124,43,0.0966,25,0.0562,16,0.036,0,0,3,0.0067,1,0.0022,8,0.018
382,537,1528,90,0.1676,9,0.0168,63,0.1173,31,0.0577,34,0.0633,45,0.0838,1,0.0019,2,0.0037,3,0.0056,15,0.0279,547,1489,907,69,0.1261,11,0.0201,57,0.1042,21,0.0384,17,0.0311,37,0.0676,4,0.0073,2,0.0037,0,0,13,0.0238,576,1387,861,86,0.1493,11,0.0191,69,0.1198,28,0.0486,21,0.0365,34,0.059,4,0.0069,2,0.0035,3,0.0052,14,0.0243
383,363,882,103,0.2837,6,0.0165,73,0.2011,33,0.0909,171,0.4711,97,0.2672,3,0.0083,43,0.1185,16,0.0441,38,0.1047,359,814,1615,126,0.351,3,0.0084,61,0.1699,33,0.0919,189,0.5265,116,0.3231,3,0.0084,46,0.1281,21,0.0585,34,0.0947,328,768,1630,106,0.3232,3,0.0091,71,0.2165,48,0.1463,183,0.5579,96,0.2927,2,0.0061,44,0.1341,23,0.0701,40,0.122
384,238,592,20,0.084,0,0,25,0.105,12,0.0504,12,0.0504,8,0.0336,0,0,4,0.0168,0,0,4,0.0168,251,591,488,28,0.1116,3,0.012,32,0.1275,11,0.0438,6,0.0239,15,0.0598,2,0.008,0,0,0,0,7,0.0279,202,511,405,24,0.1188,0,0,32,0.1584,14,0.0693,10,0.0495,11,0.0545,0,0,1,0.005,0,0,5,0.0248
385,171,313,29,0.1696,3,0.0175,26,0.152,12,0.0702,7,0.0409,18,0.1053,2,0.0117,0,0,0,0,8,0.0468,166,367,209,25,0.1506,1,0.006,37,0.2229,7,0.0422,9,0.0542,16,0.0964,0,0,0,0,1,0.006,13,0.0783,188,419,225,23,0.1223,1,0.0053,44,0.234,12,0.0638,16,0.0851,14,0.0745,0,0,0,0,0,0,17,0.0904
386,487,1842,77,0.1581,3,0.0062,61,0.1253,26,0.0534,19,0.039,42,0.0862,0,0,0,0,0,0,12,0.0246,524,2144,1108,61,0.1164,3,0.0057,51,0.0973,22,0.042,16,0.0305,27,0.0515,1,0.0019,2,0.0038,0,0,11,0.021,515,2083,1089,65,0.1262,3,0.0058,58,0.1126,30,0.0583,25,0.0485,29,0.0563,2,0.0039,1,0.0019,0,0,7,0.0136
387,375,923,30,0.08,0,0,76,0.2027,12,0.032,12,0.032,15,0.04,0,0,4,0.0107,0,0,1,0.0027,353,956,761,40,0.1133,0,0,73,0.2068,12,0.034,15,0.0425,16,0.0453,0,0,7,0.0198,0,0,0,0,365,966,832,37,0.1014,0,0,86,0.2356,12,0.0329,19,0.0521,19,0.0521,0,0,3,0.0082,0,0,1,0.0027
388,175,506,16,0.0914,0,0,36,0.2057,4,0.0229,2,0.0114,1,0.0057,0,0,0,0,0,0,0,0,167,599,345,18,0.1078,0,0,30,0.1796,7,0.0419,5,0.0299,8,0.0479,0,0,0,0,0,0,0,0,202,598,355,16,0.0792,0,0,49,0.2426,8,0.0396,8,0.0396,6,0.0297,0,0,0,0,0,0,0,0
389,236,421,27,0.1144,1,0.0042,22,0.0932,4,0.0169,45,0.1907,21,0.089,0,0,15,0.0636,1,0.0042,13,0.0551,229,428,219,22,0.0961,0,0,32,0.1397,6,0.0262,36,0.1572,14,0.0611,0,0,16,0.0699,2,0.0087,23,0.1004,223,388,227,20,0.0897,0,0,20,0.0897,9,0.0404,36,0.1614,13,0.0583,0,0,14,0.0628,5,0.0224,12,0.0538
390,281,826,57,0.2028,0,0,34,0.121,25,0.089,20,0.0712,33,0.1174,0,0,5,0.0178,2,0.0071,7,0.0249,297,714,440,45,0.1515,3,0.0101,29,0.0976,16,0.0539,14,0.0471,27,0.0909,3,0.0101,1,0.0034,1,0.0034,9,0.0303,352,975,611,69,0.196,0,0,48,0.1364,28,0.0795,17,0.0483,41,0.1165,0,0,0,0,0,0,14,0.0398
391,920,4086,138,0.15,4,0.0043,128,0.1391,65,0.0707,45,0.0489,64,0.0696,2,0.0022,5,0.0054,4,0.0043,16,0.0174,1003,4618,4566,158,0.1575,6,0.006,156,0.1555,37,0.0369,63,0.0628,57,0.0568,2,0.002,8,0.008,2,0.002,20,0.0199,966,4722,4925,180,0.1863,3,0.0031,125,0.1294,70,0.0725,76,0.0787,65,0.0673,1,0.001,16,0.0166,7,0.0072,14,0.0145
392,169,352,7,0.0414,4,0.0237,5,0.0296,5,0.0296,6,0.0355,4,0.0237,2,0.0118,0,0,0,0,3,0.0178,127,319,130,8,0.063,2,0.0157,12,0.0945,9,0.0709,4,0.0315,1,0.0079,1,0.0079,0,0,1,0.0079,3,0.0236,124,334,247,19,0.1532,1,0.0081,23,0.1855,12,0.0968,16,0.129,6,0.0484,0,0,0,0,0,0,4,0.0323
393,145,229,22,0.1517,5,0.0345,8,0.0552,7,0.0483,16,0.1103,16,0.1103,3,0.0207,4,0.0276,1,0.0069,1,0.0069,163,270,436,20,0.1227,9,0.0552,15,0.092,11,0.0675,28,0.1718,9,0.0552,8,0.0491,9,0.0552,1,0.0061,5,0.0307,199,350,613,31,0.1558,8,0.0402,17,0.0854,11,0.0553,33,0.1658,19,0.0955,4,0.0201,9,0.0452,1,0.005,9,0.0452
394,145,327,11,0.0759,1,0.0069,16,0.1103,11,0.0759,9,0.0621,10,0.069,0,0,0,0,0,0,3,0.0207,168,329,216,11,0.0655,0,0,21,0.125,10,0.0595,12,0.0714,6,0.0357,0,0,1,0.006,1,0.006,9,0.0536,176,404,262,19,0.108,1,0.0057,20,0.1136,10,0.0568,12,0.0682,12,0.0682,0,0,0,0,0,0,7,0.0398
395,182,565,36,0.1978,1,0.0055,29,0.1593,16,0.0879,12,0.0659,15,0.0824,0,0,4,0.022,1,0.0055,3,0.0165,163,463,264,19,0.1166,2,0.0123,21,0.1288,9,0.0552,18,0.1104,8,0.0491,0,0,1,0.0061,1,0.0061,3,0.0184,199,516,318,22,0.1106,1,0.005,22,0.1106,21,0.1055,14,0.0704,9,0.0452,1,0.005,1,0.005,1,0.005,5,0.0251
396,256,584,41,0.1602,2,0.0078,34,0.1328,22,0.0859,9,0.0352,14,0.0547,0,0,0,0,0,0,6,0.0234,285,614,665,22,0.0772,5,0.0175,47,0.1649,16,0.0561,5,0.0175,11,0.0386,0,0,0,0,0,0,5,0.0175,281,619,702,37,0.1317,1,0.0036,46,0.1637,29,0.1032,17,0.0605,18,0.0641,0,0,1,0.0036,1,0.0036,8,0.0285
397,409,585,52,0.1271,9,0.022,22,0.0538,13,0.0318,18,0.044,12,0.0293,0,0,0,0,1,0.0024,7,0.0171,422,633,347,66,0.1564,9,0.0213,15,0.0355,8,0.019,13,0.0308,22,0.0521,2,0.0047,1,0.0024,0,0,8,0.019,432,676,427,69,0.1597,8,0.0185,27,0.0625,19,0.044,16,0.037,16,0.037,0,0,3,0.0069,0,0,11,0.0255
398,955,3332,127,0.133,7,0.0073,120,0.1257,70,0.0733,73,0.0764,69,0.0723,4,0.0042,5,0.0052,7,0.0073,31,0.0325,1006,3669,2306,122,0.1213,4,0.004,128,0.1272,85,0.0845,86,0.0855,78,0.0775,3,0.003,15,0.0149,10,0.0099,31,0.0308,997,3827,2543,156,0.1565,7,0.007,152,0.1525,95,0.0953,95,0.0953,87,0.0873,7,0.007,12,0.012,4,0.004,40,0.0401
399,472,1355,24,0.0508,9,0.0191,49,0.1038,33,0.0699,46,0.0975,17,0.036,4,0.0085,5,0.0106,4,0.0085,9,0.0191,462,1297,480,18,0.039,5,0.0108,53,0.1147,26,0.0563,24,0.0519,15,0.0325,4,0.0087,1,0.0022,2,0.0043,7,0.0152,471,1402,558,29,0.0616,5,0.0106,53,0.1125,40,0.0849,55,0.1168,25,0.0531,4,0.0085,0,0,2,0.0042,7,0.0149
400,724,2438,39,0.0539,17,0.0235,86,0.1188,41,0.0566,63,0.087,26,0.0359,7,0.0097,9,0.0124,4,0.0055,34,0.047,819,2510,1455,48,0.0586,18,0.022,95,0.116,28,0.0342,60,0.0733,25,0.0305,12,0.0147,8,0.0098,1,0.0012,47,0.0574,875,2680,1635,55,0.0629,23,0.0263,106,0.1211,47,0.0537,63,0.072,32,0.0366,15,0.0171,7,0.008,2,0.0023,46,0.0526
401,1119,4453,109,0.0974,10,0.0089,137,0.1224,63,0.0563,99,0.0885,43,0.0384,8,0.0071,8,0.0071,3,0.0027,35,0.0313,1192,4604,1770,107,0.0898,13,0.0109,162,0.1359,69,0.0579,102,0.0856,61,0.0512,7,0.0059,7,0.0059,5,0.0042,34,0.0285,1209,4448,1692,115,0.0951,8,0.0066,134,0.1108,75,0.062,113,0.0935,49,0.0405,5,0.0041,8,0.0066,7,0.0058,37,0.0306
402,208,490,24,0.1154,2,0.0096,24,0.1154,10,0.0481,1,0.0048,16,0.0769,1,0.0048,1,0.0048,1,0.0048,8,0.0385,150,382,202,13,0.0867,1,0.0067,8,0.0533,20,0.1333,21,0.14,8,0.0533,0,0,4,0.0267,4,0.0267,3,0.02,163,374,212,20,0.1227,0,0,14,0.0859,30,0.184,27,0.1656,6,0.0368,0,0,5,0.0307,4,0.0245,6,0.0368
403,1022,3498,82,0.0802,9,0.0088,95,0.093,37,0.0362,54,0.0528,63,0.0616,6,0.0059,3,0.0029,2,0.002,26,0.0254,1058,3471,1015,94,0.0888,10,0.0095,88,0.0832,60,0.0567,40,0.0378,63,0.0595,5,0.0047,4,0.0038,7,0.0066,17,0.0161,1071,3805,1094,88,0.0822,13,0.0121,96,0.0896,60,0.056,56,0.0523,69,0.0644,8,0.0075,5,0.0047,5,0.0047,20,0.0187
404,296,839,21,0.0709,3,0.0101,36,0.1216,28,0.0946,24,0.0811,8,0.027,2,0.0068,1,0.0034,2,0.0068,3,0.0101,376,969,478,37,0.0984,4,0.0106,45,0.1197,30,0.0798,27,0.0718,12,0.0319,3,0.008,2,0.0053,4,0.0106,7,0.0186,382,962,480,29,0.0759,3,0.0079,36,0.0942,28,0.0733,24,0.0628,13,0.034,2,0.0052,2,0.0052,5,0.0131,5,0.0131
